Hero Name,Role,Tier,Win Rate (%),Popularity (%),Ban Rate (%),Pick rate (%),Scaling Rating,Recommended Lane,Second Lane,Cooldown Rating,Item Dependency Rating,Mobility Rating,Crowd Control Rating,Base Stats Growth Rating,Ultimate Impact Rating_All Game Phases,Ultimate Impact Rating_Early Game,Ultimate Impact Rating_Late Game,Ultimate Impact Rating_Mid Game,Ultimate Impact Rating_Support,Strength Rating (%)
Granger,Marksman,A,0.4465,3.31,0.12890000000000001,3.26,1.0,-1,-1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,83.85
Selena,Assassin/Mage,S,0.4825,2.85,0.4457,2.52,0.0,-1,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,76.89
Franco,Tank,B,0.4587,1.72,0.0695,2.19,0.0,4,-1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,67.24
Badang,Fighter,S,0.5257000000000001,2.68,0.1796,2.56,0.0,3,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,65.58
Irithel,Marksman,S,0.57,2.09,0.0437,2.58,1.0,-1,-1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,64.88
Angela,Support,S,0.5171,2.21,0.0705,2.19,0.0,4,-1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,64.16
Lukas,Fighter,SS,0.5233,2.04,0.8443,1.55,1.0,3,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,64.14
Suyou,Fighter/Assassin,B,0.4696,2.35,0.0706,1.53,1.0,0,-1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.95
Moskov,Marksman,A,0.5153,1.95,0.004699999999999999,1.73,1.0,-1,-1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,59.96
Kimmy,Marksman/Mage,SS,0.5328,1.64,0.5788,2.49,1.0,-1,-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.52
Cecilion,Mage,A,0.5036,2.84,0.0063,1.5,1.0,-1,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56.55
Fredrinn,Fighter/Tank,S,0.5297,1.27,0.1777,1.09,1.0,0,-1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,53.78
Hayabusa,Assassin,SS,0.5182,1.65,0.8758,1.17,1.0,0,-1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.44
Cici,Fighter,A,0.5036999999999999,1.82,0.018500000000000003,1.49,0.0,3,-1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,51.25
Julian,Fighter/Mage,S,0.5262,1.43,0.1274,1.37,1.0,0,-1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.17
Alpha,Fighter,C,0.4742,0.93,0.0032,1.27,1.0,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,50.14
Joy,Assassin,S,0.4929,1.56,0.30269999999999997,1.08,1.0,0,-1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.58
Gatotkaca,Tank/Fighter,A,0.523,1.76,0.0123,1.86,0.0,4,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,49.36
Mathilda,Support/Assassin,S,0.5119,1.8,0.17149999999999999,1.04,0.0,4,-1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.57
Zhuxin,Mage,A,0.511,1.21,0.11699999999999999,0.77,1.0,-1,-1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,47.97
Yi Sun-shin,Marksman,S,0.5206000000000001,1.37,0.0783,1.52,1.0,0,-1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47.06
Harith,Mage,B,0.4878,1.33,0.0044,0.84,1.0,-1,-1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.85
Brody,Marksman,A,0.5088,1.67,0.011200000000000002,1.16,1.0,-1,-1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46.45
Chou,Fighter,D,0.4606,1.45,0.0125,1.37,0.0,4,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,46.34
Tigreal,Tank,C,0.4598,1.54,0.0209,1.74,0.0,4,-1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,45.94
Ling,Assassin,A,0.496,1.27,0.0215,1.48,1.0,0,-1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.65
Fanny,Assassin,S,0.4524,1.12,0.6224000000000001,1.11,1.0,0,-1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.5
Pharsa,Mage,A,0.5014,1.09,0.0039000000000000003,1.6,1.0,-1,-1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.05
Phoveus,Fighter,A,0.5193,1.68,0.0645,1.47,0.0,3,-1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,44.66
Hylos,Tank,B,0.4949,1.24,0.0042,0.81,0.0,4,3,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,43.65
Wanwan,Marksman,S,0.5615,0.73,0.06309999999999999,1.28,1.0,-1,-1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43.27
Floryn,Support,SS,0.5878,1.43,0.8548,1.07,0.0,4,-1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,43.26
Xavier,Mage,A,0.5245000000000001,1.58,0.0023,1.26,0.0,-1,-1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.56
Vexana,Mage,B,0.49770000000000003,0.94,0.0015,0.97,0.0,-1,-1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,39.25
Natan,Marksman,C,0.4913,1.51,0.0008,0.36,1.0,-1,-1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.85
Gloo,Tank,S,0.5387,1.27,0.3465,0.77,0.0,3,4,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,38.6
Hanzo,Assassin,S,0.4782,0.82,0.5254,0.68,1.0,0,-1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.2
Karrie,Marksman,D,0.46380000000000005,0.68,0.0028000000000000004,0.77,1.0,-1,-1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.64
Clint,Marksman,B,0.4924,1.47,0.0108,0.83,1.0,-1,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.15
Layla,Marksman,B,0.4899,0.83,0.0158,1.47,1.0,-1,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.15
Claude,Marksman,D,0.4473,0.62,0.0006,0.6,1.0,-1,-1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.33
Beatrix,Marksman,D,0.4661,0.63,0.0008,0.57,1.0,-1,-1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.14
Lunox,Mage,B,0.5083,0.65,0.0011,0.52,1.0,-1,-1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.85
Karina,Assassin,C,0.473,0.45,0.0361,0.7,1.0,0,-1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.65
Lancelot,Assassin,D,0.43189999999999995,0.45,0.0016,0.67,1.0,0,-1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.33
Novaria,Mage,B,0.493,1.24,0.0023,0.64,0.0,-1,-1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.95
Chang'e,Mage,B,0.4853,1.0,0.0103,1.55,0.0,-1,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.65
Benedetta,Assassin/Fighter,B,0.4929,0.69,0.0026,0.68,1.0,3,-1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.85
Ruby,Fighter,B,0.4985,0.82,0.0009,0.54,0.0,3,4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,31.75
Valir,Mage,C,0.48719999999999997,0.73,0.0027,0.62,0.0,-1,-1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,31.65
Uranus,Tank,D,0.4816,0.14,0.0004,0.21,1.0,3,-1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,31.64
Belerick,Tank,A,0.5054,0.8,0.0199,1.03,0.0,4,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,31.45
Baxia,Tank,S,0.5479999999999999,0.05,0.0473,0.75,1.0,0,3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,31.17
Harley,Assassin/Mage,C,0.4888,0.28,0.008199999999999999,0.51,1.0,0,-1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.05
Nolan,Assassin,D,0.4677,0.34,0.0018,0.24,1.0,0,-1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.94
Gusion,Assassin,D,0.44299999999999995,0.31,0.0012,0.45,1.0,0,-1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.73
Arlott,Fighter/Assassin,D,0.4802,0.28,0.0008,0.27,0.0,3,4,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,30.64
Luo Yi,Mage,B,0.4936,0.45,0.0024,0.58,0.0,-1,-1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.45
Estes,Support,B,0.4771,0.51,0.0886,0.71,0.0,4,-1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,30.35
Freya,Fighter,A,0.5295000000000001,0.64,0.1082,0.54,1.0,3,-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.97
Miya,Marksman,B,0.4984,0.56,0.0095,1.11,1.0,-1,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.85
Jawhead,Fighter,D,0.4817,0.66,0.0009,0.41,0.0,4,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.84
Kalea,Tank/Fighter,SS,0.5516,0.79,0.9643,0.71,0.0,4,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,28.26
Khaleed,Fighter,A,0.5218,0.57,0.0006,0.4,0.0,3,4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,27.86
Hanabi,Marksman,B,0.48810000000000003,0.4,0.0044,1.03,1.0,-1,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.45
Chip,Support/Tank,S,0.5228,0.5,0.2403,0.42,0.0,4,-1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,27.38
Guinevere,Fighter,B,0.49439999999999995,0.63,0.002,0.76,0.0,0,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,27.05
Saber,Assassin,A,0.4962,0.31,0.0984,0.57,0.0,0,4,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.96
Minotaur,Tank/Support,A,0.5288,0.39,0.001,0.29,0.0,4,-1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,26.96
Alucard,Fighter/Assassin,A,0.5284,0.63,0.0053,0.75,0.0,0,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.96
Kagura,Mage,C,0.4891,0.69,0.0016,0.69,0.0,-1,-1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.95
Valentina,Mage,D,0.446,0.53,0.0027,0.35,0.0,-1,-1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.93
X.Borg,Fighter,C,0.48350000000000004,0.57,0.0018,0.6,1.0,3,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.85
Melissa,Marksman,A,0.5343,0.62,0.0154,0.74,1.0,-1,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.76
Lesley,Marksman/Assassin,D,0.4128,0.34,0.001,0.47,0.0,-1,-1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.22
Helcurt,Assassin,B,0.5002,0.3,0.009899999999999999,0.5,1.0,4,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.15
Carmilla,Support/Tank,A,0.5213,0.64,0.0034000000000000002,0.58,0.0,4,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,25.36
Akai,Tank,B,0.4961,0.32,0.0015,0.38,0.0,4,3,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,25.15
Dyrroth,Fighter,D,0.449,0.28,0.0008,0.42,0.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.13
Alice,Mage/Tank,A,0.5367000000000001,0.39,0.0181,0.3,1.0,3,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.06
Atlas,Tank,C,0.4852,0.28,0.0018,0.39,0.0,4,-1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,24.85
Sun,Fighter,A,0.5127,0.67,0.0202,0.95,0.0,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.36
Johnson,Tank/Support,D,0.47609999999999997,0.43,0.004699999999999999,0.67,0.0,4,-1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,24.14
Khufra,Tank,B,0.5146000000000001,0.62,0.0036,0.47,0.0,4,-1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,24.05
Faramis,Support/Mage,B,0.5168,0.22,0.0016,0.16,0.0,-1,-1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.96
Bane,Fighter/Mage,B,0.5122,0.27,0.0006,0.31,1.0,0,-1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,23.95
Kadita,Mage/Assassin,C,0.488,0.28,0.0005,0.27,0.0,-1,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,23.65
Vale,Mage,B,0.4879,0.24,0.0014000000000000002,0.8,0.0,-1,-1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,23.55
Edith,Tank/Marksman,B,0.5119,0.26,0.0006,0.25,0.0,3,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,23.25
Roger,Fighter/Marksman,D,0.4607,0.19,0.0005,0.31,0.0,0,-1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.14
Esmeralda,Mage/Tank,D,0.4314,0.21,0.0007000000000000001,0.28,0.0,3,-1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.03
Aamon,Assassin,C,0.4939,0.2,0.0013,0.28,1.0,0,-1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.95
Zilong,Fighter/Assassin,B,0.4939,0.53,0.005699999999999999,0.95,0.0,3,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.95
Aldous,Fighter,D,0.47240000000000004,0.18,0.0012,0.26,1.0,3,-1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.54
Thamuz,Fighter,D,0.466,0.17,0.0003,0.23,0.0,3,-1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.14
Paquito,Fighter/Assassin,D,0.4337,0.17,0.0004,0.23,1.0,3,-1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.13
Yve,Mage,B,0.5041,0.18,0.0004,0.13,0.0,-1,-1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21.25
Lylia,Mage,D,0.47850000000000004,0.45,0.0004,0.36,1.0,-1,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.24
Natalia,Assassin,D,0.4843,0.12,0.0029,0.18,0.0,4,-1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.15
Aurora,Mage,C,0.4877,0.42,0.0005,0.38,0.0,-1,-1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21.15
Terizla,Fighter/Tank,B,0.5032,0.33,0.0008,0.44,0.0,3,-1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.85
Popol and Kupa,Marksman,A,0.5422,0.37,0.0021,0.38,1.0,-1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.66
Bruno,Marksman,C,0.4913,0.36,0.0005,0.37,1.0,-1,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.45
Yin,Fighter/Assassin,D,0.4794,0.28,0.012199999999999999,0.45,0.0,0,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.45
Ixia,Marksman,B,0.5008,0.33,0.0012,0.4,1.0,-1,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.45
Yu Zhong,Fighter,C,0.4844,0.56,0.001,0.58,0.0,3,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19.55
Argus,Fighter,A,0.5296,0.46,0.0487,0.62,0.0,3,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.96
Masha,Fighter/Tank,A,0.5376,0.25,0.0024,0.26,0.0,3,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.26
Hilda,Fighter/Tank,B,0.5121,0.5,0.0026,0.51,0.0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.25
Diggie,Support,S,0.5649000000000001,0.2,0.025,0.27,0.0,4,-1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,17.87
Kaja,Support/Fighter,B,0.5057,0.2,0.0024,0.25,0.0,4,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.65
Barats,Tank/Fighter,C,0.4943,0.11,0.0005,0.14,0.0,0,3,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17.65
Lapu-Lapu,Fighter,D,0.4664,0.2,0.0002,0.22,0.0,3,-1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.34
Minsitthar,Fighter,B,0.5022,0.41,0.0067,0.5,0.0,3,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.25
Cyclops,Mage,B,0.5014,0.36,0.0008,0.5,0.0,-1,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.75
Leomord,Fighter,B,0.5074000000000001,0.55,0.0007000000000000001,0.26,0.0,0,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.25
Nana,Mage,D,0.446,0.46,0.0064,0.85,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.23
Zhask,Mage,A,0.5209,0.36,0.0014000000000000002,0.43,0.0,-1,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.06
Aulus,Fighter,B,0.5053,0.06,0.0005,0.13,1.0,0,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.05
Eudora,Mage,B,0.5007,0.45,0.0192,0.73,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.95
Grock,Tank/Fighter,D,0.452,0.09,0.0003,0.07,0.0,4,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.74
Martis,Fighter,D,0.45899999999999996,0.24,0.0008,0.33,0.0,0,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.84
Silvanna,Fighter,C,0.4876,0.14,0.0004,0.29,0.0,3,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.45
Balmond,Fighter,D,0.41850000000000004,0.25,0.0013,0.17,0.0,0,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.33
Rafaela,Support,C,0.498,0.18,0.0018,0.22,0.0,4,-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.15
Gord,Mage,A,0.5205,0.28,0.0009,0.42,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.16
Odette,Mage,B,0.49979999999999997,0.3,0.0005,0.39,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.05
Lolita,Support/Tank,S,0.5947,0.22,0.0087,0.32,0.0,4,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.58
